"algorithm","treatment","note"
"DNN", "LSTM", 93.80902
"DNN", "LSTM", 93.65751
"DNN", "CNN", 93.82199
"DNN", "CNN", 94.19219
"DNN", "Glove", 95.28796
"DNN", "Glove", 94.67085
"DNN", "LSTM", 94.09283
"DNN", "LSTM", 93.17697
"DNN", "LSTM", 93.89002
"DNN", "LSTM", 92.59259
"XGBoost", "LSTM", 86.34985
"XGBoost", "LSTM", 86.58009
"XGBoost", "Glove", 87.74459
"XGBoost", "Glove", 86.76307
"XGBoost", "Glove", 88.1768
"XGBoost", "CNN", 85.99138
"XGBoost", "CNN", 88.51064
"XGBoost", "CNN", 88.12834
"XGBoost", "CNN", 86.78881
"SVM", "LSTM", 84.1998
"SVM", "LSTM", 80.9417
"SVM", "LSTM", 85.41226
"SVM", "Glove", 85.77362
"SVM", "Glove", 86.39668
"SVM", "Glove", 83.23108
"SVM", "CNN", 85.34759
"SVM", "CNN", 82.56468
"SVM", "CNN", 83.5631